所有模型，所有数据集，有向图，5-2-3, 10次平均:
	MLP	GCN	GraphSAGE	GAT	GGNN	APPNPStack	GraphSAGE2	PTA	DAGNN	C&S	
Github	0.855	0.866	0.87	0.858	0.869	0.869	OOM	0.847	0.85	0.834
Elliptic	0.855	0.829	0.864	0.858	0.911	0.831	0.864	0.824	0.852	0.865
Film	0.327	0.284	0.319	0.27	0.305	0.298	0.323	0.31	0.323	0.235
Wiki	0.791	0.761	0.809	0.711	0.807	0.791	0.799	0.76	0.13	0.821
Weibo	0.964	0.984	0.983	0.981	0.987	0.982	0.983	0.961	0.937	0.977
bgp	0.639	0.583	0.654	0.588	0.651	0.564	0.652	0.519	0.592	0.524
ssn5	0.695	0.773	0.848	0.813	0.833	0.859	0.855	0.666	0.775	0.879
ssn7	0.745	0.833	0.852	0.849	0.841	0.856	0.85	0.834	0.864	0.88
Wisconsin	0.786	0.473	0.763	0.451	0.729	0.498	0.773	0.524	0.508	0.741
Texas	0.55	0.555	0.734	0.453	0.689	0.384	0.813	0.539	0.561	0.516
Cornell	0.587	0.537	0.695	0.418	0.571	0.505	0.629	0.547	0.537	0.6
ogbn_arxiv	0.542	0.704	0.693	0.697	0.692	0.7	0.695	0.578	0.679	0.74
