保持数据集原边方向										
dataset_name	MLP	GCN	GraphSAGE	GAT	GGNN	APPNP	GraphSAGE2	PTA	C&S	DAGNN
cora	0.709	0.868	0.873	0.865	0.869	0.881	0.867	0.888	0.876	0.891
CiteSeer	0.69	0.75	0.755	0.748	0.748	0.753	0.739	0.76	0.744	0.76
PubMed	0.716	0.665	0.803	0.684	0.835	0.589	0.795	0.862	0.849	0.876
Github	0.851	0.849	0.861	0.848	0.865	0.843	0.856	0.836	0.828	0.82
Elliptic	0.947	0.913	0.947	0.947	0.975	0.905	0.954	0.909	0.942	0.928
Film	0.323	0.267	0.318	0.272	0.302	0.268	0.314	0.293	0.267	0.289
Wiki	0.796	0.722	0.82	0.726	0.827	0.726	0.806	0.598	0.762	0.069
Clothing	0.716	0.733	0.762	0.726	0.756	0.75	OOM	0.737	0.754	0.745
Eletronics	0.725	0.644	0.737	0.637	0.747	0.644	OOM	0.687	0.664	0.65
Dblp	0.287	0.427	0.397	0.403	0.386	0.419	OOM	0.404	0.418	0.421
Yelpchi	0.859	0.856	0.859	OOM	0.86	0.858	0.857	0.855	0.859	0.855
Alpha	0.933	0.935	0.93	0.927	0.932	0.929	0.925	0.933	0.933	0.933
Weibo	0.964	0.976	0.974	0.98	0.982	0.976	0.977	0.977	0.961	0.875
BGP	0.638	0.554	0.646	0.571	0.642	0.54	0.653	0.588	0.319	0.604
										
有向图转无向图										
dataset_name	MLP	GCN	GraphSAGE	GAT	GGNN	APPNP	GraphSAGE2	PTA	C&S	DAGNN
Github	0.854	0.864	0.867	0.859	0.871	0.865	OOM	0.845	0.833	0.869
Elliptic	0.947	0.939	0.958	0.963	0.977	0.942	0.958	0.919	0.956	0.967
Film	0.319	0.28	0.319	0.267	0.297	0.301	0.322	0.302	0.239	0.326
Wiki	0.792	0.763	0.808	0.716	0.812	0.793	0.795	0.752	0.83	0.096
Alpha	0.936	0.935	0.928	0.932	0.932	0.934	0.928	0.934	0.934	0.936
BGP	0.639	0.589	0.655	0.581	0.651	0.587	0.647	0.518	0.529	0.604
